RecipeID,RecipeName,Category,Diet,CookingTime,Calories,Rating,Ingredients,Instructions
101,Idli,Breakfast,Vegetarian,25,180,4.8,Rice Batter|Urad Dal Batter|Salt,Prepare Batter|Ferment Overnight|Steam Idlis|Serve with Chutney
102,Masala Dosa,Breakfast,Vegetarian,35,320,4.9,Dosa Batter|Potato|Onion|Mustard Seeds|Curry Leaves,Prepare Potato Masala|Spread Batter|Cook Dosa|Fold and Serve
103,Pongal,Breakfast,Vegetarian,30,300,4.7,Rice|Moong Dal|Pepper|Cumin|Ghee,Cook Rice and Dal|Prepare Tempering|Mix Together|Serve Hot
104,Medu Vada,Breakfast,Vegetarian,40,290,4.8,Urad Dal|Onion|Green Chilli|Curry Leaves|Oil,Grind Dal Batter|Shape Vadas|Deep Fry|Serve
105,Upma,Breakfast,Vegetarian,20,240,4.5,Rava|Onion|Carrot|Peas|Mustard Seeds,Roast Rava|Prepare Tempering|Cook with Water|Serve
106,Uttapam,Breakfast,Vegetarian,25,310,4.7,Dosa Batter|Onion|Tomato|Capsicum,Prepare Batter|Add Vegetables|Cook Both Sides|Serve
107,Pesarattu,Breakfast,Vegetarian,30,250,4.6,Green Gram|Onion|Green Chilli|Ginger,Soak Green Gram|Grind Batter|Cook on Tawa|Serve
108,Appam,Breakfast,Vegetarian,35,260,4.7,Rice Batter|Coconut Milk|Yeast,Ferment Batter|Cook in Appam Pan|Serve
109,Curd Rice,Lunch,Vegetarian,15,260,4.8,Rice|Curd|Milk|Mustard Seeds|Curry Leaves,Cook Rice|Mix Curd|Prepare Tempering|Serve
110,Lemon Rice,Lunch,Vegetarian,20,280,4.6,Rice|Lemon|Peanuts|Mustard Seeds|Curry Leaves,Prepare Tempering|Add Rice|Mix Lemon Juice|Serve
111,Tamarind Rice,Lunch,Vegetarian,25,320,4.7,Rice|Tamarind|Peanuts|Red Chilli,Prepare Tamarind Paste|Mix with Rice|Serve
112,Coconut Rice,Lunch,Vegetarian,20,300,4.6,Rice|Grated Coconut|Mustard Seeds|Curry Leaves,Prepare Tempering|Add Coconut|Mix Rice|Serve
113,Sambar Rice,Lunch,Vegetarian,40,360,4.8,Rice|Toor Dal|Mixed Vegetables|Sambar Powder,Cook Dal|Prepare Sambar|Mix with Rice|Serve
114,Rasam Rice,Lunch,Vegetarian,25,240,4.6,Rice|Tomato|Tamarind|Rasam Powder,Prepare Rasam|Cook Rice|Serve Together
